"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"24 ";"17 ";"18 ";"14 ";"WHV-L-06-G 1/8''-WDS ";"87,74 ";"L ";"10799 "
"400 ";"8 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"17 ";"WHV-L-08-G 1/4''-WDS ";"96,09 ";"L ";"10801 "
"350 ";"10 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"19 ";"WHV-L-10-G 1/4''-WDS ";"103,76 ";"L ";"10802 "
"350 ";"10 ";"G 3/8'' ";"17,5 ";"35 ";"24 ";"27 ";"19 ";"WHV-L-10-G 3/8''-WDS ";"133,23 ";"L ";"10803 "
"350 ";"12 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"22 ";"WHV-L-12-G 1/4''-WDS ";"131,68 ";"L ";"10804 "
"350 ";"12 ";"G 3/8'' ";"18,0 ";"36 ";"24 ";"27 ";"22 ";"WHV-L-12-G 3/8''-WDS ";"123,2 ";"L ";"10805 "
"315 ";"12 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"22 ";"WHV-L-12-G 1/2''-WDS ";"152,41 ";"L ";"10806 "
"315 ";"15 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"27 ";"WHV-L-15-G 1/2''-WDS ";"152,41 ";"L ";"10807 "
"315 ";"18 ";"G 1/2'' ";"21,0 ";"45 ";"30 ";"32 ";"32 ";"WHV-L-18-G 1/2''-WDS ";"188,2 ";"L ";"10808 "
"200 ";"22 ";"G 3/4'' ";"27,5 ";"53 ";"36 ";"40 ";"36 ";"WHV-L-22-G 3/4''-WDS ";"303,88 ";"L ";"10809 "
"200 ";"28 ";"G 1'' ";"32,0 ";"66 ";"46 ";"50 ";"41 ";"WHV-L-28-G 1''-WDS ";"439,97 ";"L ";"10810 "
"200 ";"35 ";"G 1 1/4'' ";"36,0 ";"76 ";"55 ";"60 ";"50 ";"WHV-L-35-G 1 1/4''-WDS ";"629,87 ";"L ";"10811 "
"200 ";"42 ";"G 1 1/2'' ";"40,5 ";"87 ";"60 ";"70 ";"60 ";"WHV-L-42-G 1 1/2''-WDS ";"891,59 ";"L ";"10812 "
"100 ";"4 ";"G 1/8'' ";"11,0 ";"24 ";"17 ";"18 ";"10 ";"WHV-LL-04-G 1/8''-WDS ";"88,51 ";"LL ";"10794 "
"100 ";"6 ";"G 1/8'' ";"11,5 ";"24 ";"17 ";"18 ";"12 ";"WHV-LL-06-G 1/8''-WDS ";"88,51 ";"LL ";"10797 "
"100 ";"8 ";"G 1/8'' ";"12,5 ";"24 ";"17 ";"18 ";"14 ";"WHV-LL-08-G 1/8''-WDS ";"90,02 ";"LL ";"10798 "
"500 ";"6 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"17 ";"WHV-S-06-G 1/4''-WDS ";"98,64 ";"S ";"10813 "
"450 ";"8 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"19 ";"WHV-S-08-G 1/4''-WDS ";"106,31 ";"S ";"10814 "
"400 ";"10 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"22 ";"WHV-S-10-G 1/4''-WDS ";"130,18 ";"S ";"10815 "
"400 ";"10 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"22 ";"WHV-S-10-G 3/8''-WDS ";"120,65 ";"S ";"10816 "
"400 ";"12 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"24 ";"WHV-S-12-G 3/8''-WDS ";"133,43 ";"S ";"10817 "
"400 ";"14 ";"G 1/2'' ";"22,5 ";"45 ";"30 ";"32 ";"27 ";"WHV-S-14-G 1/2''-WDS ";"160,08 ";"S ";"10818 "
"400 ";"16 ";"G 1/2'' ";"22,0 ";"45 ";"30 ";"32 ";"30 ";"WHV-S-16-G 1/2''-WDS ";"193,32 ";"S ";"10819 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"53 ";"36 ";"40 ";"36 ";"WHV-S-20-G 3/4''-WDS ";"298,25 ";"S ";"10820 "
"250 ";"25 ";"G 1'' ";"31,5 ";"66 ";"46 ";"50 ";"46 ";"WHV-S-25-G 1''-WDS ";"458,24 ";"S ";"10821 "
"250 ";"30 ";"G 1 1/4'' ";"37,0 ";"76 ";"55 ";"60 ";"50 ";"WHV-S-30-G 1 1/4''-WDS ";"671,38 ";"S ";"10822 "
"250 ";"38 ";"G 1 1/2'' ";"41,5 ";"87 ";"60 ";"70 ";"60 ";"WHV-S-38-G 1 1/2''-WDS ";"945,28 ";"S ";"10823 "
