"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"32,0 ";"19,0 ";"10,0 ";"12 ";"EVGE-L-06-1/8''-ov-NPT ";"8,81 ";"L ";"6076 "
"315 ";"6 ";"1/4'' NPT ";"40,0 ";"19,0 ";"15,0 ";"14 ";"EVGE-L-06-1/4''-ov-NPT ";"10,17 ";"L ";"6077 "
"315 ";"8 ";"1/4'' NPT ";"40,5 ";"20,0 ";"15,0 ";"14 ";"EVGE-L-08-1/4''-ov-NPT ";"9,68 ";"L ";"6078 "
"315 ";"10 ";"1/4'' NPT ";"40,0 ";"20,5 ";"15,0 ";"14 ";"EVGE-L-10-1/4''-ov-NPT ";"10,32 ";"L ";"6079 "
"315 ";"12 ";"1/4'' NPT ";"42,0 ";"22,0 ";"15,0 ";"14 ";"EVGE-L-12-1/4''-ov-NPT ";"11,42 ";"L ";"6080 "
"315 ";"12 ";"3/8'' NPT ";"43,0 ";"22,0 ";"15,3 ";"19 ";"EVGE-L-12-3/8''-ov-NPT ";"12,88 ";"L ";"6081 "
"315 ";"12 ";"1/2'' NPT ";"50,0 ";"22,0 ";"20,0 ";"22 ";"EVGE-L-12-1/2''-ov-NPT ";"13,11 ";"L ";"6082 "
"315 ";"15 ";"3/8'' NPT ";"43,0 ";"22,0 ";"15,3 ";"19 ";"EVGE-L-15-3/8''-ov-NPT ";"13,22 ";"L ";"6083 "
"315 ";"15 ";"1/2'' NPT ";"48,0 ";"22,0 ";"20,0 ";"22 ";"EVGE-L-15-1/2''-ov-NPT ";"17,54 ";"L ";"6084 "
"315 ";"18 ";"1/2'' NPT ";"50,0 ";"24,0 ";"20,0 ";"22 ";"EVGE-L-18-1/2''-ov-NPT ";"27,07 ";"L ";"6085 "
"160 ";"22 ";"3/4'' NPT ";"52,0 ";"24,5 ";"20,0 ";"27 ";"EVGE-L-22-3/4''-ov-NPT ";"33,51 ";"L ";"6086 "
"160 ";"28 ";"1'' NPT ";"58,0 ";"25,5 ";"25,0 ";"36 ";"EVGE-L-28-1''-ov-NPT ";"54,18 ";"L ";"6087 "
"160 ";"35 ";"1 1/4'' NPT ";"66,0 ";"32,0 ";"25,5 ";"46 ";"EVGE-L-35-1 1/4''-ov-NPT ";"93,93 ";"L ";"6088 "
"160 ";"42 ";"1 1/2'' NPT ";"68,0 ";"32,0 ";"26,0 ";"50 ";"EVGE-L-42-1 1/2''-ov-NPT ";"97,84 ";"L ";"6089 "
"630 ";"6 ";"1/4'' NPT ";"40,0 ";"19,0 ";"15,0 ";"14 ";"EVGE-S-06-1/4''-ov-NPT ";"10,86 ";"S ";"6090 "
"630 ";"8 ";"1/4'' NPT ";"40,5 ";"20,0 ";"15,0 ";"14 ";"EVGE-S-08-1/4''-ov-NPT ";"11,12 ";"S ";"6091 "
"630 ";"10 ";"1/4'' NPT ";"40,0 ";"20,5 ";"15,0 ";"14 ";"EVGE-S-10-1/4''-ov-NPT ";"11,32 ";"S ";"6092 "
"630 ";"10 ";"3/8'' NPT ";"43,0 ";"22,0 ";"15,3 ";"19 ";"EVGE-S-10-3/8''-ov-NPT ";"13,19 ";"S ";"6093 "
"630 ";"12 ";"1/4'' NPT ";"42,0 ";"22,0 ";"15,0 ";"14 ";"EVGE-S-12-1/4''-ov-NPT ";"15,85 ";"S ";"6094 "
"630 ";"12 ";"3/8'' NPT ";"43,0 ";"22,0 ";"15,3 ";"19 ";"EVGE-S-12-3/8''-ov-NPT ";"16,87 ";"S ";"6095 "
"630 ";"12 ";"1/2'' NPT ";"50,0 ";"22,0 ";"20,0 ";"22 ";"EVGE-S-12-1/2''-ov-NPT ";"18,66 ";"S ";"6096 "
"630 ";"14 ";"1/2'' NPT ";"48,5 ";"24,5 ";"20,0 ";"22 ";"EVGE-S-14-1/2''-ov-NPT ";"20,17 ";"S ";"6097 "
"400 ";"16 ";"1/2'' NPT ";"54,0 ";"24,0 ";"20,0 ";"22 ";"EVGE-S-16-1/2''-ov-NPT ";"28,71 ";"S ";"6098 "
"400 ";"20 ";"3/4'' NPT ";"58,0 ";"29,0 ";"20,0 ";"27 ";"EVGE-S-20-3/4''-ov-NPT ";"36,64 ";"S ";"6099 "
"400 ";"25 ";"1'' NPT ";"68,0 ";"33,0 ";"25,0 ";"36 ";"EVGE-S-25-1''-ov-NPT ";"57,56 ";"S ";"6100 "
"400 ";"30 ";"1 1/4'' NPT ";"73,0 ";"34,0 ";"25,5 ";"46 ";"EVGE-S-30-1 1/4''-ov-NPT ";"101,83 ";"S ";"6101 "
"315 ";"38 ";"1 1/2'' NPT ";"81,0 ";"40,0 ";"26,0 ";"50 ";"EVGE-S-38-1 1/2''-ov-NPT ";"104,71 ";"S ";"6102 "
