"Gewinde  Thread  ";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  H";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"M 10 x 1 ";"17,0 ";"10,7 ";"1,5 ";"KDW-10x1-P ";"4,62 ";"Perbunan ";"8304 "
"M 12 x 1,5 ";"19,0 ";"12,7 ";"1,5 ";"KDW-12x1,5-P ";"4,62 ";"Perbunan ";"8305 "
"M 14 x 1,5 ";"22,0 ";"14,7 ";"1,5 ";"KDW-14x1,5-P ";"4,62 ";"Perbunan ";"8308 "
"M 16 x 1,5 ";"24,0 ";"16,7 ";"1,5 ";"KDW-16x1,5-P ";"5,28 ";"Perbunan ";"8310 "
"M 18 x 1,5 ";"26,0 ";"18,7 ";"1,5 ";"KDW-18x1,5-P ";"5,5 ";"Perbunan ";"8311 "
"M 22 x 1,5 ";"30,0 ";"22,7 ";"2,0 ";"KDW-22x1,5-P ";"6,27 ";"Perbunan ";"8314 "
"M 26 x 1,5 ";"35,0 ";"26,7 ";"2,0 ";"KDW-26x1,5-P ";"10,55 ";"Perbunan ";"8315 "
"M 27 x 2 ";"36,0 ";"27,7 ";"2,0 ";"KDW-27x2-P ";"13,04 ";"Perbunan ";"8317 "
"M 33 x 2 ";"42,0 ";"33,7 ";"2,0 ";"KDW-33x2-P ";"19,97 ";"Perbunan ";"8319 "
"M 42 x 2 ";"53,0 ";"42,7 ";"3,0 ";"KDW-42x2-P ";"29,37 ";"Perbunan ";"8321 "
"M 48 x 2 ";"59,0 ";"48,7 ";"3,0 ";"KDW-48x2-P ";"37,8 ";"Perbunan ";"8323 "
"M 10 x 1 ";"17,0 ";"10,7 ";"1,5 ";"KDW-10x1-V ";"11,22 ";"Viton ";"8284 "
"M 12 x 1,5 ";"19,0 ";"12,7 ";"1,5 ";"KDW-12x1,5-V ";"11,22 ";"Viton ";"8285 "
"M 14 x 1,5 ";"22,0 ";"14,7 ";"1,5 ";"KDW-14x1,5-V ";"11,22 ";"Viton ";"8286 "
"M 16 x 1,5 ";"24,0 ";"16,7 ";"1,5 ";"KDW-16x1,5-V ";"11,72 ";"Viton ";"8290 "
"M 18 x 1,5 ";"26,0 ";"18,7 ";"1,5 ";"KDW-18x1,5-V ";"12,87 ";"Viton ";"8291 "
"M 22 x 1,5 ";"30,0 ";"22,7 ";"2,0 ";"KDW-22x1,5-V ";"12,87 ";"Viton ";"8294 "
"M 26 x 1,5 ";"35,0 ";"26,7 ";"2,0 ";"KDW-26x1,5-V ";"13,95 ";"Viton ";"8295 "
"M 27 x 2 ";"36,0 ";"27,7 ";"2,0 ";"KDW-27x2-V ";"14,35 ";"Viton ";"8297 "
"M 33 x 2 ";"42,0 ";"33,7 ";"2,0 ";"KDW-33x2-V ";"29 ";"Viton ";"8299 "
"M 42 x 2 ";"53,0 ";"42,7 ";"3,0 ";"KDW-42x2-V ";"42,15 ";"Viton ";"8301 "
"M 48 x 2 ";"59,0 ";"48,7 ";"3,0 ";"KDW-48x2-V ";"56,6 ";"Viton ";"8303 "
