"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"24 ";"17 ";"18 ";"14 ";"WHV-L-06-G 1/8''-WDS-SC ";"88,06 ";"L ";"10824 "
"400 ";"8 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"17 ";"WHV-L-08-G 1/4''-WDS-SC ";"96,53 ";"L ";"10825 "
"350 ";"10 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"19 ";"WHV-L-10-G 1/4''-WDS-SC ";"104,02 ";"L ";"10826 "
"350 ";"10 ";"G 3/8'' ";"17,5 ";"35 ";"24 ";"27 ";"19 ";"WHV-L-10-G 3/8''-WDS-SC ";"140,65 ";"L ";"10827 "
"350 ";"12 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"22 ";"WHV-L-12-G 1/4''-WDS-SC ";"132,24 ";"L ";"10828 "
"350 ";"12 ";"G 3/8'' ";"18,0 ";"36 ";"24 ";"27 ";"22 ";"WHV-L-12-G 3/8''-WDS-SC ";"123,76 ";"L ";"10829 "
"315 ";"12 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"22 ";"WHV-L-12-G 1/2''-WDS-SC ";"153,49 ";"L ";"10830 "
"315 ";"15 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"27 ";"WHV-L-15-G 1/2''-WDS-SC ";"153,49 ";"L ";"10831 "
"315 ";"18 ";"G 1/2'' ";"21,0 ";"45 ";"30 ";"32 ";"32 ";"WHV-L-18-G 1/2''-WDS-SC ";"189,84 ";"L ";"10832 "
"200 ";"22 ";"G 3/4'' ";"27,5 ";"53 ";"36 ";"40 ";"36 ";"WHV-L-22-G 3/4''-WDS-SC ";"297,46 ";"L ";"10833 "
"200 ";"28 ";"G 1'' ";"32,0 ";"66 ";"46 ";"50 ";"41 ";"WHV-L-28-G 1''-WDS-SC ";"432,11 ";"L ";"10834 "
"200 ";"35 ";"G 1 1/4'' ";"36,0 ";"76 ";"55 ";"60 ";"50 ";"WHV-L-35-G 1 1/4''-WDS-SC ";"634,19 ";"L ";"10835 "
"200 ";"42 ";"G 1 1/2'' ";"40,5 ";"87 ";"60 ";"70 ";"60 ";"WHV-L-42-G 1 1/2''-WDS-SC ";"895,91 ";"L ";"10836 "
"500 ";"6 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"17 ";"WHV-S-06-G 1/4''-WDS-SC ";"99,08 ";"S ";"10837 "
"450 ";"8 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"19 ";"WHV-S-08-G 1/4''-WDS-SC ";"106,75 ";"S ";"10838 "
"400 ";"10 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"22 ";"WHV-S-10-G 1/4''-WDS-SC ";"130,74 ";"S ";"10839 "
"400 ";"10 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"22 ";"WHV-S-10-G 3/8''-WDS-SC ";"121,21 ";"S ";"10840 "
"400 ";"12 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"24 ";"WHV-S-12-G 3/8''-WDS-SC ";"134,27 ";"S ";"10841 "
"400 ";"14 ";"G 1/2'' ";"22,5 ";"45 ";"30 ";"32 ";"27 ";"WHV-S-14-G 1/2''-WDS-SC ";"161,64 ";"S ";"10842 "
"400 ";"16 ";"G 1/2'' ";"22,0 ";"45 ";"30 ";"32 ";"30 ";"WHV-S-16-G 1/2''-WDS-SC ";"194,88 ";"S ";"10843 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"53 ";"36 ";"40 ";"36 ";"WHV-S-20-G 3/4''-WDS-SC ";"300,13 ";"S ";"10844 "
"250 ";"25 ";"G 1'' ";"31,5 ";"66 ";"46 ";"50 ";"46 ";"WHV-S-25-G 1''-WDS-SC ";"461,24 ";"S ";"10845 "
"250 ";"30 ";"G 1 1/4'' ";"37,0 ";"76 ";"55 ";"60 ";"50 ";"WHV-S-30-G 1 1/4''-WDS-SC ";"675,54 ";"S ";"10846 "
"250 ";"38 ";"G 1 1/2'' ";"41,5 ";"87 ";"60 ";"70 ";"60 ";"WHV-S-38-G 1 1/2''-WDS-SC ";"950,92 ";"S ";"10847 "
