"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maße  Approx. Dimensions  L";"Ca. Maße  Approx. Dimensions  SW";"Für Schlauchtyp  For Hose Type  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"7/16''-20 UNF ";"42,0 ";"19 ";"2 TE, 1 SN, R1AT, Compact 2 SC ";"SR-P1-DN 06 ";"30,1 ";"";"1250 "
"08 ";"5/16'' ";"1/2''-20 UNF ";"42,0 ";"19 ";"2 TE, 1 SN, R1AT, Compact 2 SC ";"SR-P1-DN 08 ";"30,1 ";"";"1251 "
"10 ";"3/8'' ";"9/16''-18 UNF ";"49,5 ";"24 ";"2 TE, 1 SN, R1AT, Compact 2 SC ";"SR-P1-DN 10 ";"32 ";"";"1252 "
"12 ";"1/2'' ";"5/8''-18 UNF ";"51,0 ";"27 ";"2 TE, 1 SN, R1AT, Compact 2 SC ";"SR-P1-DN 12 ";"33,05 ";"";"1253 "
"16 ";"5/8'' ";"3/4''-18 UNS ";"54,0 ";"30 ";"2 TE, 1 SN, R1AT, Compact 2 SC ";"SR-P1-DN 16 ";"42,6 ";"";"1254 "
"19 ";"3/4'' ";"7/8''-18 UNS ";"62,0 ";"36 ";"2 TE, 1 SN, R1AT, Compact 2 SC ";"SR-P1-DN 19 ";"52,8 ";"";"1255 "
"25 ";"1'' ";"1 3/16''-16 UN ";"74,0 ";"41 ";"2 TE, 1 SN, R1AT, Compact 2 SC ";"SR-P1-DN 25 ";"65,2 ";"";"1256 "
