"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"1/4''-18 NPT ";"30,2 ";"4,0 ";"14 ";"SR-AGN-1/4''-DN 06 ";"25,1 ";"";"1426 "
"08 ";"5/16'' ";"3/8''-18 NPT ";"33,3 ";"5,5 ";"19 ";"SR-AGN-3/8''-DN 08 ";"";"";"1427 "
"10 ";"3/8'' ";"3/8''-18 NPT ";"33,3 ";"7,5 ";"19 ";"SR-AGN-3/8''-DN 10 ";"26,3 ";"";"1428 "
"10 ";"3/8'' ";"1/2''-14 NPT ";"38,6 ";"7,5 ";"22 ";"SR-AGN-1/2''-DN 10 ";"26,3 ";"";"1429 "
"12 ";"1/2'' ";"1/2''-14 NPT ";"39,9 ";"10,0 ";"22 ";"SR-AGN-1/2''-DN 12 ";"26,3 ";"";"1430 "
"16 ";"5/8'' ";"3/4''-14 NPT ";"43,9 ";"13,0 ";"27 ";"SR-AGN-3/4''-DN 16 ";"36,2 ";"";"1431 "
"19 ";"3/4'' ";"3/4''-14 NPT ";"43,2 ";"15,5 ";"27 ";"SR-AGN-3/4''-DN 19 ";"36,2 ";"";"1432 "
"25 ";"1'' ";"1''-11,5 NPT ";"51,1 ";"21,5 ";"36 ";"SR-AGN-1''-DN 25 ";"61,4 ";"";"1433 "
