"Baugröße  Size  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"DN 6 ";"SS-FF-DN 6-F ";"7 ";"";"11829 "
"DN 10 ";"SS-FF-DN 10-F ";"7 ";"";"11830 "
"DN 12 ";"SS-FF-DN 12-F ";"7,2 ";"";"11831 "
"DN 16 ";"SS-FF-DN 16-F ";"17,5 ";"";"11832 "
"DN 19 ";"SS-FF-DN 19-F ";"23,7 ";"";"11833 "
"DN 25 ";"SS-FF-DN 25-F ";"40,95 ";"";"11834 "
"DN 38 ";"SS-FF-DN 38-F ";"41 ";"";"11835 "
