"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Rohr A.D.  Tube O.D.  D3";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L8";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"8 ";"6 ";"14,0 ";"14,0 ";"14,0 ";"21,0 ";"21,0 ";"14 ";"TRV-L-06/08/06-OMD ";"29,35 ";"L ";"3252 "
"500 ";"6 ";"8 ";"8 ";"";"";"";"";"";"14 ";"TRV-L-06/08/08-OMD ";"29,35 ";"L ";"11847 "
"500 ";"6 ";"10 ";"6 ";"";"";"";"";"";"17 ";"TRV-L-06/10/06-OMD ";"32,22 ";"L ";"3254 "
"500 ";"8 ";"6 ";"8 ";"14,0 ";"14,0 ";"14,0 ";"21,0 ";"21,0 ";"14 ";"TRV-L-08/06/08-OMD ";"28,78 ";"L ";"3253 "
"500 ";"8 ";"10 ";"8 ";"15,0 ";"15,0 ";"15,0 ";"22,0 ";"22,0 ";"17 ";"TRV-L-08/10/08-OMD ";"31,57 ";"L ";"3255 "
"400 ";"8 ";"12 ";"8 ";"17,0 ";"17,0 ";"17,0 ";"24,0 ";"24,0 ";"17 ";"TRV-L-08/12/08-OMD ";"33,85 ";"L ";"3259 "
"500 ";"10 ";"6 ";"10 ";"15,0 ";"15,0 ";"15,0 ";"22,0 ";"22,0 ";"17 ";"TRV-L-10/06/10-OMD ";"31,2 ";"L ";"3256 "
"500 ";"10 ";"8 ";"10 ";"15,0 ";"15,0 ";"15,0 ";"22,0 ";"22,0 ";"17 ";"TRV-L-10/08/10-OMD ";"30,88 ";"L ";"3257 "
"500 ";"10 ";"10 ";"6 ";"15,0 ";"15,0 ";"15,0 ";"22,0 ";"22,0 ";"17 ";"TRV-L-10/10/06-OMD ";"31,2 ";"L ";"3258 "
"400 ";"10 ";"12 ";"10 ";"";"";"";"";"";"17 ";"TRV-L-10/12/10-OMD ";"33,09 ";"L ";"3266 "
