"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"44,0 ";"10 ";"12 ";"14 ";"GV-L-06 ";"8,03 ";"L ";"2605 "
"500 ";"8 ";"45,0 ";"11 ";"14 ";"17 ";"GV-L-08 ";"10,02 ";"L ";"2606 "
"500 ";"10 ";"48,0 ";"13 ";"17 ";"19 ";"GV-L-10 ";"12,4 ";"L ";"2607 "
"400 ";"12 ";"49,0 ";"14 ";"19 ";"22 ";"GV-L-12 ";"14,24 ";"L ";"2608 "
"400 ";"15 ";"54,0 ";"16 ";"24 ";"27 ";"GV-L-15 ";"18,84 ";"L ";"2609 "
"400 ";"18 ";"56,0 ";"16 ";"27 ";"32 ";"GV-L-18 ";"28,12 ";"L ";"2610 "
"250 ";"22 ";"63,0 ";"20 ";"32 ";"36 ";"GV-L-22 ";"36,61 ";"L ";"2611 "
"250 ";"28 ";"65,0 ";"21 ";"41 ";"41 ";"GV-L-28 ";"58,08 ";"L ";"2612 "
"250 ";"35 ";"74,0 ";"20 ";"46 ";"50 ";"GV-L-35 ";"76,95 ";"L ";"2613 "
"250 ";"42 ";"75,0 ";"21 ";"55 ";"60 ";"GV-L-42 ";"104,97 ";"L ";"2614 "
"100 ";"4 ";"35,0 ";"12 ";"9 ";"10 ";"GV-LL-04 ";"11,04 ";"LL ";"2602 "
"100 ";"6 ";"36,0 ";"9 ";"11 ";"12 ";"GV-LL-06 ";"12,32 ";"LL ";"2603 "
"100 ";"8 ";"38,5 ";"12 ";"12 ";"14 ";"GV-LL-08 ";"13,63 ";"LL ";"2604 "
"100 ";"12 ";"40,5 ";"11 ";"17 ";"19 ";"GV-LL-12 ";"22,7 ";"LL ";"11756 "
"800 ";"6 ";"50,0 ";"16 ";"14 ";"17 ";"GV-S-06 ";"10,1 ";"S ";"2615 "
"800 ";"8 ";"52,0 ";"18 ";"17 ";"19 ";"GV-S-08 ";"11,96 ";"S ";"2616 "
"800 ";"10 ";"54,0 ";"17 ";"19 ";"22 ";"GV-S-10 ";"15,01 ";"S ";"2617 "
"630 ";"12 ";"57,0 ";"19 ";"22 ";"24 ";"GV-S-12 ";"16,77 ";"S ";"2618 "
"630 ";"14 ";"63,0 ";"22 ";"24 ";"27 ";"GV-S-14 ";"21,22 ";"S ";"2619 "
"630 ";"16 ";"65,0 ";"21 ";"27 ";"30 ";"GV-S-16 ";"27,99 ";"S ";"2620 "
"420 ";"20 ";"73,0 ";"23 ";"32 ";"36 ";"GV-S-20 ";"39,88 ";"S ";"2621 "
"420 ";"25 ";"84,0 ";"26 ";"41 ";"46 ";"GV-S-25 ";"66,37 ";"S ";"2622 "
"420 ";"30 ";"88,0 ";"27 ";"46 ";"50 ";"GV-S-30 ";"89,48 ";"S ";"2623 "
"420 ";"38 ";"99,0 ";"29 ";"55 ";"60 ";"GV-S-38 ";"120,16 ";"S ";"11779 "
