"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"8,5 ";"23,5 ";"8 ";"14 ";"GE-L-06-M 10x1-wd-OMD ";"5,62 ";"L ";"4259 "
"500 ";"6 ";"M 12 x 1,5 ";"10,0 ";"29,0 ";"12 ";"17 ";"GE-L-06-M 12x1,5-wd-OMD ";"8,13 ";"L ";"4260 "
"500 ";"6 ";"M 14 x 1,5 ";"10,0 ";"29,5 ";"12 ";"19 ";"GE-L-06-M 14x1,5-wd-OMD ";"8,64 ";"L ";"4261 "
"500 ";"8 ";"M 10 x 1 ";"9,5 ";"24,5 ";"8 ";"14 ";"GE-L-08-M 10x1-wd-OMD ";"8,18 ";"L ";"4262 "
"500 ";"8 ";"M 12 x 1,5 ";"10,0 ";"29,0 ";"12 ";"17 ";"GE-L-08-M 12x1,5-wd-OMD ";"7,12 ";"L ";"4263 "
"500 ";"8 ";"M 14 x 1,5 ";"10,0 ";"29,0 ";"12 ";"19 ";"GE-L-08-M 14x1,5-wd-OMD ";"8,35 ";"L ";"4264 "
"400 ";"8 ";"M 16 x 1,5 ";"11,5 ";"30,5 ";"12 ";"22 ";"GE-L-08-M 16x1,5-wd-OMD ";"11,18 ";"L ";"4265 "
"400 ";"8 ";"M 18 x 1,5 ";"11,5 ";"30,5 ";"12 ";"24 ";"GE-L-08-M 18x1,5-wd-OMD ";"14,1 ";"L ";"4266 "
"400 ";"8 ";"M 22 x 1,5 ";"13,0 ";"34,0 ";"14 ";"27 ";"GE-L-08-M 22x1,5-wd-OMD ";"";"L ";"12332 "
"500 ";"10 ";"M 10 x 1 ";"10,0 ";"26,0 ";"8 ";"17 ";"GE-L-10-M 10x1-wd-OMD ";"10,4 ";"L ";"4267 "
"500 ";"10 ";"M 12 x 1,5 ";"11,5 ";"30,0 ";"12 ";"17 ";"GE-L-10-M 12x1,5-wd-OMD ";"10,7 ";"L ";"4268 "
"500 ";"10 ";"M 14 x 1,5 ";"11,0 ";"30,0 ";"12 ";"19 ";"GE-L-10-M 14x1,5-wd-OMD ";"7,02 ";"L ";"4269 "
"400 ";"10 ";"M 16 x 1,5 ";"12,5 ";"31,5 ";"12 ";"22 ";"GE-L-10-M 16x1,5-wd-OMD ";"12,34 ";"L ";"4270 "
"400 ";"10 ";"M 18 x 1,5 ";"12,5 ";"31,5 ";"12 ";"24 ";"GE-L-10-M 18x1,5-wd-OMD ";"13,21 ";"L ";"4271 "
"400 ";"10 ";"M 22 x 1,5 ";"14,0 ";"35,0 ";"14 ";"27 ";"GE-L-10-M 22x1,5-wd-OMD ";"19,59 ";"L ";"4272 "
"400 ";"12 ";"M 12 x 1,5 ";"13,0 ";"31,0 ";"12 ";"19 ";"GE-L-12-M 12x1,5-wd-OMD ";"11,61 ";"L ";"4273 "
"400 ";"12 ";"M 14 x 1,5 ";"12,5 ";"31,5 ";"12 ";"19 ";"GE-L-12-M 14x1,5-wd-OMD ";"11,51 ";"L ";"4274 "
"400 ";"12 ";"M 16 x 1,5 ";"12,5 ";"31,5 ";"12 ";"22 ";"GE-L-12-M 16x1,5-wd-OMD ";"9,1 ";"L ";"4275 "
"400 ";"12 ";"M 18 x 1,5 ";"12,5 ";"31,5 ";"12 ";"24 ";"GE-L-12-M 18x1,5-wd-OMD ";"13,18 ";"L ";"4276 "
"400 ";"12 ";"M 22 x 1,5 ";"14,0 ";"35,0 ";"14 ";"27 ";"GE-L-12-M 22x1,5-wd-OMD ";"19,32 ";"L ";"4277 "
