"Druck  Pressure  PN";"Auﬂengewinde  Male Thread  G";"Innengewinde  Female Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"G 3/8'' ";"G 1/8'' ";"22,5 ";"12,0 ";"8,0 ";"22 ";"A ";"GRI-3/8'' x 1/8'' ";"12,58 ";"";"8062 "
"400 ";"G 1/2'' ";"G 1/4'' ";"24,0 ";"14,0 ";"12,0 ";"27 ";"A ";"GRI-1/2'' x 1/4'' ";"13,7 ";"";"8063 "
"400 ";"G 1/2'' ";"G 1/8'' ";"24,0 ";"14,0 ";"8,0 ";"27 ";"A ";"GRI-1/2'' x 1/8'' ";"13,93 ";"";"8064 "
"400 ";"G 3/4'' ";"G 3/8'' ";"26,0 ";"16,0 ";"13,0 ";"32 ";"A ";"GRI-3/4'' x 3/8'' ";"20,96 ";"";"8065 "
"400 ";"G 3/4'' ";"G 1/4'' ";"26,0 ";"16,0 ";"12,0 ";"32 ";"A ";"GRI-3/4'' x 1/4'' ";"20,96 ";"";"8066 "
"400 ";"G 3/4'' ";"G 1/8'' ";"26,0 ";"16,0 ";"8,0 ";"32 ";"A ";"GRI-3/4'' x 1/8'' ";"21,95 ";"";"8067 "
"400 ";"G 1'' ";"G 1/2'' ";"29,0 ";"18,0 ";"14,0 ";"41 ";"A ";"GRI-1'' x 1/2'' ";"28,12 ";"";"8068 "
"400 ";"G 1'' ";"G 3/8'' ";"29,0 ";"18,0 ";"12,0 ";"41 ";"A ";"GRI-1'' x 3/8'' ";"26,28 ";"";"8069 "
"400 ";"G 1'' ";"G 1/4'' ";"29,0 ";"18,0 ";"12,0 ";"41 ";"A ";"GRI-1'' x 1/4'' ";"25,85 ";"";"8070 "
"250 ";"G 1 1/4'' ";"G 3/4'' ";"32,0 ";"20,0 ";"16,0 ";"50 ";"A ";"GRI-1 1/4'' x 3/4'' ";"52,41 ";"";"8071 "
"250 ";"G 1 1/4'' ";"G 1/2'' ";"32,0 ";"20,0 ";"14,0 ";"50 ";"A ";"GRI-1 1/4'' x 1/2'' ";"51,64 ";"";"8072 "
"250 ";"G 1 1/4'' ";"G 3/8'' ";"32,0 ";"20,0 ";"17,0 ";"50 ";"A ";"GRI-1 1/4'' x 3/8'' ";"52,8 ";"";"8073 "
"250 ";"G 1 1/2'' ";"G 1'' ";"36,0 ";"22,0 ";"18,0 ";"55 ";"A ";"GRI-1 1/2'' x 1'' ";"60,33 ";"";"8074 "
"250 ";"G 1 1/2'' ";"G 3/4'' ";"36,0 ";"22,0 ";"16,0 ";"55 ";"A ";"GRI-1 1/2'' x 3/4'' ";"58,29 ";"";"8075 "
"250 ";"G 1 1/2'' ";"G 1/2'' ";"36,0 ";"22,0 ";"14,0 ";"55 ";"A ";"GRI-1 1/2'' x 1/2'' ";"57,27 ";"";"8076 "
"250 ";"G 2'' ";"G 1 1/2'' ";"42,0 ";"22,5 ";"18,5 ";"70 ";"A ";"GRI-2'' x 1 1/2'' ";"125,27 ";"";"8077 "
"250 ";"G 2'' ";"G 1 1/4'' ";"42,0 ";"22,5 ";"18,5 ";"70 ";"A ";"GRI-2'' x 1 1/4'' ";"125,27 ";"";"8078 "
"250 ";"G 2'' ";"G 1'' ";"42,0 ";"22,5 ";"18,5 ";"70 ";"A ";"GRI-2'' x 1'' ";"125,27 ";"";"8079 "
"250 ";"G 2'' ";"G 3/4'' ";"42,0 ";"22,5 ";"16,0 ";"70 ";"A ";"GRI-2'' x 3/4'' ";"130,38 ";"";"8080 "
"250 ";"G 2'' ";"G 1/2'' ";"41,5 ";"22,5 ";"16,0 ";"70 ";"A ";"GRI-2'' x 1/2'' ";"130,38 ";"";"8081 "
