"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"12,0 ";"26,0 ";"19,0 ";"12 ";"14 ";"ET-DKOL-06-OMD ";"33,29 ";"L ";"8770 "
"500 ";"8 ";"M 14 x 1,5 ";"14,0 ";"27,5 ";"21,0 ";"12 ";"17 ";"ET-DKOL-08-OMD ";"33,59 ";"L ";"8771 "
"500 ";"10 ";"M 16 x 1,5 ";"15,0 ";"29,0 ";"22,0 ";"14 ";"19 ";"ET-DKOL-10-OMD ";"41,67 ";"L ";"8772 "
"400 ";"12 ";"M 18 x 1,5 ";"17,0 ";"29,5 ";"24,0 ";"17 ";"22 ";"ET-DKOL-12-OMD ";"45,37 ";"L ";"8773 "
"400 ";"15 ";"M 22 x 1,5 ";"21,0 ";"32,5 ";"28,0 ";"19 ";"27 ";"ET-DKOL-15-OMD ";"61,3 ";"L ";"8774 "
"400 ";"18 ";"M 26 x 1,5 ";"23,5 ";"35,5 ";"31,0 ";"24 ";"32 ";"ET-DKOL-18-OMD ";"77,35 ";"L ";"8775 "
"250 ";"22 ";"M 30 x 2 ";"27,5 ";"38,5 ";"35,0 ";"27 ";"36 ";"ET-DKOL-22-OMD ";"89,31 ";"L ";"8776 "
"250 ";"28 ";"M 36 x 2 ";"30,5 ";"41,5 ";"38,0 ";"36 ";"41 ";"ET-DKOL-28-OMD ";"162,04 ";"L ";"8777 "
"250 ";"35 ";"M 45 x 2 ";"34,5 ";"51,0 ";"45,0 ";"41 ";"50 ";"ET-DKOL-35-OMD ";"238,99 ";"L ";"8778 "
"250 ";"42 ";"M 52 x 2 ";"40,0 ";"56,0 ";"51,0 ";"50 ";"60 ";"ET-DKOL-42-OMD ";"320,95 ";"L ";"8779 "
"800 ";"6 ";"M 14 x 1,5 ";"16,0 ";"27,0 ";"23,0 ";"12 ";"17 ";"ET-DKOS-06-OMD ";"33,87 ";"S ";"8780 "
"800 ";"8 ";"M 16 x 1,5 ";"17,0 ";"27,5 ";"24,0 ";"14 ";"19 ";"ET-DKOS-08-OMD ";"36,37 ";"S ";"8781 "
"800 ";"10 ";"M 18 x 1,5 ";"17,5 ";"30,0 ";"25,0 ";"17 ";"22 ";"ET-DKOS-10-OMD ";"45,5 ";"S ";"8782 "
"630 ";"12 ";"M 20 x 1,5 ";"21,5 ";"31,0 ";"29,0 ";"17 ";"24 ";"ET-DKOS-12-OMD ";"49,39 ";"S ";"8783 "
"630 ";"14 ";"M 22 x 1,5 ";"22,0 ";"35,0 ";"30,0 ";"19 ";"27 ";"ET-DKOS-14-OMD ";"63,14 ";"S ";"8784 "
"630 ";"16 ";"M 24 x 1,5 ";"24,5 ";"36,5 ";"33,0 ";"24 ";"30 ";"ET-DKOS-16-OMD ";"78,17 ";"S ";"8785 "
"420 ";"20 ";"M 30 x 2 ";"26,5 ";"44,5 ";"37,0 ";"27 ";"36 ";"ET-DKOS-20-OMD ";"99 ";"S ";"8786 "
"420 ";"25 ";"M 36 x 2 ";"30,0 ";"50,0 ";"42,0 ";"36 ";"46 ";"ET-DKOS-25-OMD ";"154,5 ";"S ";"8787 "
"420 ";"30 ";"M 42 x 2 ";"35,5 ";"55,0 ";"49,0 ";"41 ";"50 ";"ET-DKOS-30-OMD ";"203,66 ";"S ";"8788 "
"420 ";"38 ";"M 52 x 2 ";"41,0 ";"63,0 ";"57,0 ";"50 ";"60 ";"ET-DKOS-38-OMD ";"320,19 ";"S ";"8789 "
