"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"18 ";"85,0 ";"56,0 ";"14 ";"ESV-L-06 ";"18,15 ";"L ";"9474 "
"500 ";"8 ";"20 ";"85,0 ";"56,0 ";"17 ";"ESV-L-08 ";"19,79 ";"L ";"9475 "
"500 ";"10 ";"22 ";"87,0 ";"58,0 ";"19 ";"ESV-L-10 ";"23,52 ";"L ";"9476 "
"400 ";"12 ";"25 ";"87,0 ";"58,0 ";"22 ";"ESV-L-12 ";"26,33 ";"L ";"9477 "
"400 ";"15 ";"28 ";"100,0 ";"70,0 ";"27 ";"ESV-L-15 ";"37,73 ";"L ";"9478 "
"400 ";"18 ";"32 ";"101,0 ";"69,0 ";"32 ";"ESV-L-18 ";"49,6 ";"L ";"9479 "
"250 ";"22 ";"36 ";"105,0 ";"73,0 ";"36 ";"ESV-L-22 ";"74,14 ";"L ";"9480 "
"250 ";"28 ";"40 ";"106,0 ";"73,0 ";"41 ";"ESV-L-28 ";"94,59 ";"L ";"9481 "
"250 ";"35 ";"50 ";"114,0 ";"71,0 ";"50 ";"ESV-L-35 ";"120,16 ";"L ";"9482 "
"250 ";"42 ";"60 ";"115,0 ";"70,0 ";"60 ";"ESV-L-42 ";"176,4 ";"L ";"9483 "
"800 ";"6 ";"20 ";"89,0 ";"60,0 ";"17 ";"ESV-S-06 ";"20,96 ";"S ";"9484 "
"800 ";"8 ";"22 ";"89,0 ";"60,0 ";"19 ";"ESV-S-08 ";"23,98 ";"S ";"9485 "
"800 ";"10 ";"25 ";"91,0 ";"59,0 ";"22 ";"ESV-S-10 ";"28,12 ";"S ";"9486 "
"630 ";"12 ";"28 ";"91,0 ";"59,0 ";"24 ";"ESV-S-12 ";"32,88 ";"S ";"9487 "
"630 ";"14 ";"30 ";"107,0 ";"72,0 ";"27 ";"ESV-S-14 ";"45,89 ";"S ";"9488 "
"630 ";"16 ";"35 ";"107,0 ";"71,0 ";"30 ";"ESV-S-16 ";"55,53 ";"S ";"9489 "
"420 ";"20 ";"38 ";"114,0 ";"71,0 ";"36 ";"ESV-S-20 ";"92,03 ";"S ";"9490 "
"420 ";"25 ";"45 ";"120,0 ";"72,0 ";"46 ";"ESV-S-25 ";"99,7 ";"S ";"9491 "
"420 ";"30 ";"50 ";"126,0 ";"73,0 ";"50 ";"ESV-S-30 ";"122,71 ";"S ";"9492 "
"420 ";"38 ";"60 ";"133,0 ";"72,0 ";"60 ";"ESV-S-38 ";"176,4 ";"S ";"9493 "
