"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"M 14 x 1,5 ";"6 ";"28,0 ";"37,0 ";"3,0 ";"17 ";"4 x 1,5 ";"DKOS-06-90∞-DN 05 ";"25,1 ";"";"215 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"6 ";"28,0 ";"28,5 ";"4,0 ";"17 ";"5 x 1,0 ";"DKOS-06-90∞-DN 06 ";"23,1 ";"";"216 "
"05 ";"3/16'' ";"M 16 x 1,5 ";"8 ";"28,0 ";"28,5 ";"3,0 ";"19 ";"6 x 1,5 ";"DKOS-08-90∞-DN 05 ";"27,5 ";"";"217 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"8 ";"28,0 ";"29,5 ";"4,0 ";"19 ";"6 x 1,5 ";"DKOS-08-90∞-DN 06 ";"22,8 ";"";"218 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"8 ";"36,0 ";"40,5 ";"4,0 ";"19 ";"6 x 1,5 ";"DKOS-08-90∞-DN 08 ";"25,5 ";"";"219 "
"06 ";"1/4'' ";"M 18 x 1,5 ";"10 ";"28,5 ";"29,5 ";"4,0 ";"22 ";"8 x 1,5 ";"DKOS-10-90∞-DN 06 ";"22,8 ";"";"220 "
"08 ";"5/16'' ";"M 18 x 1,5 ";"10 ";"31,5 ";"39,0 ";"5,5 ";"22 ";"8 x 1,5 ";"DKOS-10-90∞-DN 08 ";"24,5 ";"";"221 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"10 ";"35,0 ";"37,5 ";"7,0 ";"22 ";"8 x 1,5 ";"DKOS-10-90∞-DN 10 ";"25,5 ";"";"222 "
"06 ";"1/4'' ";"M 20 x 1,5 ";"12 ";"29,0 ";"33,5 ";"4,0 ";"24 ";"10 x 1,5 ";"DKOS-12-90∞-DN 06 ";"27,9 ";"";"223 "
"08 ";"5/16'' ";"M 20 x 1,5 ";"12 ";"34,5 ";"37,0 ";"5,5 ";"24 ";"10 x 1,5 ";"DKOS-12-90∞-DN 08 ";"23 ";"";"224 "
"10 ";"3/8'' ";"M 20 x 1,5 ";"12 ";"34,0 ";"38,0 ";"7,0 ";"24 ";"10 x 1,5 ";"DKOS-12-90∞-DN 10 ";"23 ";"";"225 "
"12 ";"1/2'' ";"M 20 x 1,5 ";"12 ";"45,0 ";"53,0 ";"8,5 ";"24 ";"10 x 1,5 ";"DKOS-12-90∞-DN 12 ";"28,5 ";"";"226 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"14 ";"42,0 ";"42,0 ";"7,0 ";"27 ";"10 x 2,0 ";"DKOS-14-90∞-DN 10 ";"28 ";"";"227 "
"10 ";"3/8'' ";"M 24 x 1,5 ";"16 ";"43,0 ";"42,5 ";"7,0 ";"30 ";"13 x 2,0 ";"DKOS-16-90∞-DN 10 ";"29,9 ";"";"228 "
"12 ";"1/2'' ";"M 24 x 1,5 ";"16 ";"44,0 ";"45,5 ";"9,5 ";"30 ";"13 x 2,0 ";"DKOS-16-90∞-DN 12 ";"26 ";"";"229 "
"12 ";"1/2'' ";"M 30 x 2 ";"20 ";"46,0 ";"59,0 ";"9,5 ";"36 ";"16,3 x 2,4 ";"DKOS-20-90∞-DN 12 ";"40 ";"";"230 "
"16 ";"5/8'' ";"M 30 x 2 ";"20 ";"59,0 ";"51,0 ";"12,5 ";"36 ";"16,3 x 2,4 ";"DKOS-20-90∞-DN 16 ";"34,5 ";"";"231 "
"19 ";"3/4'' ";"M 30 x 2 ";"20 ";"61,5 ";"54,5 ";"12,5 ";"36 ";"16,3 x 2,4 ";"DKOS-20-90∞-DN 19 ";"48 ";"";"232 "
"19 ";"3/4'' ";"M 36 x 2 ";"25 ";"72,0 ";"64,0 ";"14,5 ";"46 ";"21,3 x 2,4 ";"DKOS-25-90∞-DN 19 ";"54,5 ";"";"233 "
"25 ";"1'' ";"M 36 x 2 ";"25 ";"79,0 ";"79,0 ";"18,5 ";"46 ";"21,3 x 2,4 ";"DKOS-25-90∞-DN 25 ";"59,9 ";"";"234 "
"19 ";"3/4'' ";"M 42 x 2 ";"30 ";"73,0 ";"73,5 ";"14,5 ";"50 ";"25,3 x 2,4 ";"DKOS-30-90∞-DN 19 ";"86,5 ";"";"235 "
"25 ";"1'' ";"M 42 x 2 ";"30 ";"85,0 ";"84,0 ";"20,0 ";"50 ";"25,3 x 2,4 ";"DKOS-30-90∞-DN 25 ";"75 ";"";"236 "
"25 ";"1'' ";"M 52 x 2 ";"38 ";"106,5 ";"96,5 ";"20,0 ";"60 ";"35 x 2,5 ";"DKOS-38-90∞-DN 25 ";"140 ";"";"237 "
"31 ";"1 1/4'' ";"M 52 x 2 ";"38 ";"101,0 ";"100,0 ";"25,0 ";"60 ";"35 x 2,5 ";"DKOS-38-90∞-DN 31 ";"112 ";"";"238 "
"38 ";"1 1/2'' ";"M 68 x 2 ";"50 ";"124,0 ";"111,0 ";"31,0 ";"80 ";"46 x 3,0 ";"DKOS-50-90∞-DN 38 ";"299 ";"";"239 "
