"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"23,0 ";"8,5 ";"8 ";"14 ";"14 ";"GE-L-06-M 10x1-SC ";"6,2 ";"L ";"4073 "
"315 ";"6 ";"M 12 x 1,5 ";"27,0 ";"10,0 ";"12 ";"17 ";"14 ";"GE-L-06-M 12x1,5-SC ";"8,76 ";"L ";"4074 "
"315 ";"6 ";"M 14 x 1,5 ";"27,0 ";"10,0 ";"12 ";"19 ";"14 ";"GE-L-06-M 14x1,5-SC ";"9,27 ";"L ";"4075 "
"315 ";"8 ";"M 10 x 1 ";"26,0 ";"9,5 ";"8 ";"17 ";"17 ";"GE-L-08-M 10x1-SC ";"8,89 ";"L ";"4076 "
"315 ";"8 ";"M 12 x 1,5 ";"25,0 ";"10,0 ";"12 ";"17 ";"17 ";"GE-L-08-M 12x1,5-SC ";"8,31 ";"L ";"4077 "
"315 ";"8 ";"M 14 x 1,5 ";"27,0 ";"10,0 ";"12 ";"19 ";"17 ";"GE-L-08-M 14x1,5-SC ";"9,59 ";"L ";"4078 "
"315 ";"8 ";"M 16 x 1,5 ";"27,5 ";"11,5 ";"12 ";"22 ";"17 ";"GE-L-08-M 16x1,5-SC ";"11,94 ";"L ";"4079 "
"315 ";"8 ";"M 18 x 1,5 ";"27,5 ";"11,5 ";"12 ";"24 ";"17 ";"GE-L-08-M 18x1,5-SC ";"14,99 ";"L ";"4080 "
"315 ";"10 ";"M 10 x 1 ";"28,5 ";"11,0 ";"8 ";"17 ";"19 ";"GE-L-10-M 10x1-SC ";"11,64 ";"L ";"4081 "
"315 ";"10 ";"M 12 x 1,5 ";"28,5 ";"11,5 ";"12 ";"17 ";"19 ";"GE-L-10-M 12x1,5-SC ";"10,95 ";"L ";"4082 "
"315 ";"10 ";"M 14 x 1,5 ";"26,0 ";"11,0 ";"12 ";"19 ";"19 ";"GE-L-10-M 14x1,5-SC ";"8,77 ";"L ";"4083 "
"315 ";"10 ";"M 16 x 1,5 ";"30,0 ";"12,5 ";"12 ";"22 ";"19 ";"GE-L-10-M 16x1,5-SC ";"12,46 ";"L ";"4084 "
"315 ";"10 ";"M 18 x 1,5 ";"30,0 ";"12,5 ";"12 ";"24 ";"19 ";"GE-L-10-M 18x1,5-SC ";"15,01 ";"L ";"4085 "
"315 ";"10 ";"M 22 x 1,5 ";"31,5 ";"14,0 ";"14 ";"27 ";"19 ";"GE-L-10-M 22x1,5-SC ";"20,89 ";"L ";"4086 "
"315 ";"12 ";"M 12 x 1,5 ";"28,0 ";"13,0 ";"12 ";"19 ";"22 ";"GE-L-12-M 12x1,5-SC ";"12,06 ";"L ";"4087 "
"315 ";"12 ";"M 14 x 1,5 ";"28,0 ";"12,5 ";"12 ";"19 ";"22 ";"GE-L-12-M 14x1,5-SC ";"11,96 ";"L ";"4088 "
"315 ";"12 ";"M 16 x 1,5 ";"27,0 ";"12,5 ";"12 ";"22 ";"22 ";"GE-L-12-M 16x1,5-SC ";"11,5 ";"L ";"4089 "
"315 ";"12 ";"M 18 x 1,5 ";"30,0 ";"12,5 ";"12 ";"24 ";"22 ";"GE-L-12-M 18x1,5-SC ";"15,13 ";"L ";"4090 "
"315 ";"12 ";"M 22 x 1,5 ";"32,0 ";"14,0 ";"14 ";"27 ";"22 ";"GE-L-12-M 22x1,5-SC ";"21,27 ";"L ";"4091 "
"315 ";"15 ";"M 16 x 1,5 ";"32,0 ";"13,5 ";"12 ";"24 ";"27 ";"GE-L-15-M 16x1,5-SC ";"15,86 ";"L ";"4092 "
"315 ";"15 ";"M 18 x 1,5 ";"29,0 ";"13,5 ";"12 ";"24 ";"27 ";"GE-L-15-M 18x1,5-SC ";"15,37 ";"L ";"4093 "
"315 ";"15 ";"M 22 x 1,5 ";"33,0 ";"15,0 ";"14 ";"27 ";"27 ";"GE-L-15-M 22x1,5-SC ";"21,79 ";"L ";"4094 "
"315 ";"18 ";"M 18 x 1,5 ";"33,0 ";"14,0 ";"12 ";"27 ";"32 ";"GE-L-18-M 18x1,5-SC ";"23,01 ";"L ";"4095 "
"315 ";"18 ";"M 22 x 1,5 ";"31,0 ";"14,5 ";"14 ";"27 ";"32 ";"GE-L-18-M 22x1,5-SC ";"22,31 ";"L ";"4096 "
"160 ";"18 ";"M 26 x 1,5 ";"34,5 ";"14,5 ";"16 ";"32 ";"32 ";"GE-L-18-M 26x1,5-SC ";"30,12 ";"L ";"4097 "
"160 ";"22 ";"M 22 x 1,5 ";"38,0 ";"17,5 ";"14 ";"32 ";"36 ";"GE-L-22-M 22x1,5-SC ";"33,26 ";"L ";"4098 "
"160 ";"22 ";"M 26 x 1,5 ";"33,0 ";"16,5 ";"16 ";"32 ";"36 ";"GE-L-22-M 26x1,5-SC ";"28,96 ";"L ";"4099 "
"160 ";"28 ";"M 33 x 2 ";"34,0 ";"17,5 ";"18 ";"41 ";"41 ";"GE-L-28-M 33x2-SC ";"45,2 ";"L ";"4100 "
"160 ";"35 ";"M 42 x 2 ";"39,0 ";"17,5 ";"20 ";"50 ";"50 ";"GE-L-35-M 42x2-SC ";"57,41 ";"L ";"4101 "
"160 ";"42 ";"M 48 x 2 ";"42,0 ";"19,0 ";"22 ";"55 ";"60 ";"GE-L-42-M 48x2-SC ";"75,9 ";"L ";"4102 "
