"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"1/8''-28 ";"23,0 ";"8 ";"8 ";"4,5 ";"14 ";"1050508-02-02 ";"7,5 ";"";"11513 "
"400 ";"1/4''-19 ";"1/4''-19 ";"29,0 ";"10 ";"10 ";"6,0 ";"19 ";"1050508-04-04 ";"7,65 ";"";"11514 "
"400 ";"3/8''-19 ";"3/8''-19 ";"35,0 ";"12 ";"12 ";"9,0 ";"22 ";"1050508-06-06 ";"8,5 ";"";"11515 "
"400 ";"1/2''-14 ";"1/2''-14 ";"41,0 ";"14 ";"14 ";"13,0 ";"27 ";"1050508-08-08 ";"11,7 ";"";"11516 "
"400 ";"3/4''-14 ";"3/4''-14 ";"46,0 ";"16 ";"16 ";"18,0 ";"32 ";"1050508-12-12 ";"18,45 ";"";"11517 "
"400 ";"1''-11 ";"1''-11 ";"52,0 ";"18 ";"18 ";"23,5 ";"41 ";"1050508-16-16 ";"28,95 ";"";"11518 "
"200 ";"1 1/4''-11 ";"1 1/4''-11 ";"58,0 ";"20 ";"20 ";"30,0 ";"50 ";"1050508-20-20 ";"41,25 ";"";"11519 "
"200 ";"1 1/2''-11 ";"1 1/2''-11 ";"61,0 ";"22 ";"22 ";"37,0 ";"55 ";"1050508-24-24 ";"53,7 ";"";"11520 "
"100 ";"2''-11 ";"2''-11 ";"67,0 ";"25 ";"25 ";"45,0 ";"70 ";"1050508-32-32 ";"112,2 ";"";"11521 "
