"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"R 1/8'' keg ";"12,0 ";"20 ";"19,0 ";"8 ";"12 ";"LE-L-06-R 1/8''-k-OMD ";"19,67 ";"L ";"5732 "
"315 ";"6 ";"R 1/4'' keg ";"12,0 ";"26 ";"19,0 ";"12 ";"12 ";"LE-L-06-R 1/4''-k-OMD ";"23,5 ";"L ";"5733 "
"315 ";"8 ";"R 1/4'' keg ";"14,0 ";"26 ";"21,0 ";"12 ";"12 ";"LE-L-08-R 1/4''-k-OMD ";"22,73 ";"L ";"5734 "
"315 ";"8 ";"R 3/8'' keg ";"17,0 ";"28 ";"22,0 ";"12 ";"14 ";"LE-L-08-R 3/8''-k-OMD ";"30,35 ";"L ";"5735 "
"315 ";"10 ";"R 1/8'' keg ";"";"";"";"8 ";"14 ";"LE-L-10-R 1/8''-k-OMD ";"";"L ";"5736 "
"315 ";"10 ";"R 1/4'' keg ";"15,0 ";"27 ";"22,0 ";"12 ";"14 ";"LE-L-10-R 1/4''-k-OMD ";"24,34 ";"L ";"5737 "
"315 ";"10 ";"R 3/8'' keg ";"15,0 ";"28 ";"22,0 ";"12 ";"14 ";"LE-L-10-R 3/8''-k-OMD ";"27,79 ";"L ";"5738 "
"315 ";"10 ";"R 1/2'' keg ";"";"";"";"14 ";"17 ";"LE-L-10-R 1/2''-k-OMD ";"";"L ";"5739 "
"315 ";"12 ";"R 1/4'' keg ";"17,5 ";"28 ";"24,0 ";"12 ";"17 ";"LE-L-12-R 1/4''-k-OMD ";"27,01 ";"L ";"5740 "
"315 ";"12 ";"R 3/8'' keg ";"17,5 ";"28 ";"24,0 ";"12 ";"17 ";"LE-L-12-R 3/8''-k-OMD ";"27,01 ";"L ";"5741 "
"315 ";"12 ";"R 1/2'' keg ";"";"";"";"14 ";"17 ";"LE-L-12-R 1/2''-k-OMD ";"30,47 ";"L ";"5742 "
"315 ";"15 ";"R 3/8'' keg ";"21,0 ";"32 ";"28,0 ";"12 ";"19 ";"LE-L-15-R 3/8''-k-OMD ";"";"L ";"5743 "
"315 ";"15 ";"R 1/2'' keg ";"21,0 ";"34 ";"28,0 ";"14 ";"19 ";"LE-L-15-R 1/2''-k-OMD ";"37,25 ";"L ";"5744 "
"315 ";"18 ";"R 1/2'' keg ";"23,5 ";"36 ";"";"14 ";"24 ";"LE-L-18-R 1/2''-k-OMD ";"51,79 ";"L ";"5745 "
"100 ";"4 ";"R 1/8'' keg ";"11,0 ";"17 ";"15,0 ";"8 ";"9 ";"LE-LL-04-R 1/8''-k-OMD ";"23,13 ";"LL ";"5729 "
"100 ";"6 ";"R 1/8'' keg ";"9,5 ";"17 ";"15,0 ";"8 ";"9 ";"LE-LL-06-R 1/8''-k-OMD ";"23,17 ";"LL ";"5730 "
"100 ";"8 ";"R 1/8'' keg ";"11,5 ";"20 ";"17,0 ";"8 ";"12 ";"LE-LL-08-R 1/8''-k-OMD ";"25,2 ";"LL ";"5731 "
"630 ** ";"6 ";"R 1/4'' keg ";"16,5 ";"26 ";"23,0 ";"12 ";"12 ";"LE-S-06-R 1/4''-k-OMD ";"23,05 ";"S ";"5746 "
"630 ** ";"8 ";"R 1/4'' keg ";"17,0 ";"27 ";"24,0 ";"12 ";"14 ";"LE-S-08-R 1/4''-k-OMD ";"24,79 ";"S ";"5747 "
"630 ** ";"10 ";"R 3/8'' keg ";"17,5 ";"28 ";"25,0 ";"12 ";"17 ";"LE-S-10-R 3/8''-k-OMD ";"27,17 ";"S ";"5748 "
"630 ** ";"12 ";"R 3/8'' keg ";"21,5 ";"28 ";"29,0 ";"12 ";"17 ";"LE-S-12-R 3/8''-k-OMD ";"35,53 ";"S ";"5749 "
"630 ** ";"12 ";"R 1/2'' keg ";"21,5 ";"33 ";"";"14 ";"19 ";"LE-S-12-R 1/2''-k-OMD ";"49,9 ";"S ";"5750 "
"630 ** ";"14 ";"R 1/2'' keg ";"22,0 ";"32 ";"";"14 ";"19 ";"LE-S-14-R 1/2''-k-OMD ";"38,93 ";"S ";"5751 "
"400 ** ";"16 ";"R 1/2'' keg ";"24,5 ";"32 ";"";"14 ";"24 ";"LE-S-16-R 1/2''-k-OMD ";"52,61 ";"S ";"5752 "
