"    DN";"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe  mm  Approx. Dimensions mm  D";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H3";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"6 ";"350 ";"1/8'' ";"16,0 ";"24,0 ";"51,0 ";"56,0 ";"8,0 ";"45,0 ";"26,0 ";"NDRV-G 1/8ì ";"";"";"12244 "
"8 ";"350 ";"1/4'' ";"25,0 ";"29,0 ";"65,0 ";"71,0 ";"12,5 ";"55,0 ";"33,5 ";"NDRV-G 1/4ì ";"448,1 ";"";"12245 "
"10 ";"350 ";"3/8'' ";"30,0 ";"29,0 ";"68,0 ";"75,0 ";"15,0 ";"65,0 ";"41,0 ";"NDRV-G 3/8ì ";"339,5 ";"";"12246 "
"12 ";"350 ";"1/2'' ";"35,0 ";"38,0 ";"82,0 ";"92,0 ";"17,5 ";"73,0 ";"44,0 ";"NDRV-G 1/2ì ";"345 ";"";"12247 "
"16 ";"350 ";"3/4'' ";"45,0 ";"38,0 ";"96,0 ";"106,0 ";"22,5 ";"88,0 ";"57,0 ";"NDRV-G 3/4ì ";"461,5 ";"";"12248 "
"20 ";"350 ";"1'' ";"50,0 ";"49,0 ";"121,0 ";"134,0 ";"25,0 ";"127,0 ";"77,0 ";"NDRV-G 1ì ";"720 ";"";"12249 "
"25 ";"350 ";"1 1/4'' ";"60,0 ";"49,0 ";"126,0 ";"139,0 ";"30,0 ";"143,0 ";"93,0 ";"NDRV-G 1 1/4ì ";"";"";"12250 "
"30 ";"350 ";"1 1/2'' ";"70,0 ";"49,0 ";"131,0 ";"144,0 ";"35,0 ";"143,0 ";"91,0 ";"NDRV-G 1 1/2ì ";"";"";"12251 "
"40 ";"350 ";"2'' ";"90,0 ";"49,0 ";"141,0 ";"154,0 ";"45,0 ";"165,0 ";"111,0 ";"NDRV-G 2ì ";"";"";"12252 "
