"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/4'' ";"M 12 x 1,5 ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"14 ";"MV-ev-L-06-G 1/4'' ";"17,38 ";"L ";"6296 "
"315 ";"6 ";"G 1/2'' ";"M 12 x 1,5 ";"5,0 ";"45,0 ";"25,0 ";"20,0 ";"27 ";"14 ";"MV-ev-L-06-G 1/2'' ";"26,2 ";"L ";"6297 "
"315 ";"8 ";"G 1/4'' ";"M 14 x 1,5 ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"17 ";"MV-ev-L-08-G 1/4'' ";"18,07 ";"L ";"6298 "
"315 ";"8 ";"G 1/2'' ";"M 14 x 1,5 ";"5,0 ";"47,6 ";"27,5 ";"20,0 ";"27 ";"17 ";"MV-ev-L-08-G 1/2'' ";"27,12 ";"L ";"6299 "
"315 ";"10 ";"G 1/4'' ";"M 16 x 1,5 ";"4,5 ";"39,5 ";"25,0 ";"14,5 ";"19 ";"19 ";"MV-ev-L-10-G 1/4'' ";"18,87 ";"L ";"6300 "
"315 ";"10 ";"G 1/2'' ";"M 16 x 1,5 ";"5,0 ";"47,0 ";"27,0 ";"20,0 ";"27 ";"19 ";"MV-ev-L-10-G 1/2'' ";"28,45 ";"L ";"6301 "
"315 ";"12 ";"G 1/4'' ";"M 18 x 1,5 ";"4,5 ";"40,5 ";"26,0 ";"14,5 ";"19 ";"22 ";"MV-ev-L-12-G 1/4'' ";"19,61 ";"L ";"6302 "
"315 ";"12 ";"G 1/2'' ";"M 18 x 1,5 ";"5,0 ";"47,5 ";"27,0 ";"20,0 ";"27 ";"22 ";"MV-ev-L-12-G 1/2'' ";"29,53 ";"L ";"6303 "
"630 ";"6 ";"G 1/4'' ";"M 14 x 1,5 ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"17 ";"MV-ev-S-06-G 1/4'' ";"17,38 ";"S ";"6304 "
"630 ";"6 ";"G 1/2'' ";"M 14 x 1,5 ";"5,0 ";"45,0 ";"25,0 ";"20,0 ";"27 ";"17 ";"MV-ev-S-06-G 1/2'' ";"26,2 ";"S ";"6305 "
"630 ";"8 ";"G 1/4'' ";"M 16 x 1,5 ";"4,5 ";"38,0 ";"23,5 ";"14,5 ";"19 ";"19 ";"MV-ev-S-08-G 1/4'' ";"18,07 ";"S ";"6306 "
"630 ";"8 ";"G 1/2'' ";"M 16 x 1,5 ";"5,0 ";"47,6 ";"27,0 ";"20,0 ";"27 ";"19 ";"MV-ev-S-08-G 1/2'' ";"27,12 ";"S ";"6307 "
"630 ";"10 ";"G 1/4'' ";"M 18 x 1,5 ";"4,5 ";"39,5 ";"25,0 ";"14,5 ";"19 ";"22 ";"MV-ev-S-10-G 1/4'' ";"18,87 ";"S ";"6308 "
"630 ";"10 ";"G 1/2'' ";"M 18 x 1,5 ";"5,0 ";"47,0 ";"27,0 ";"20,0 ";"27 ";"22 ";"MV-ev-S-10-G 1/2'' ";"28,45 ";"S ";"6309 "
"630 ";"12 ";"G 1/4'' ";"M 20 x 1,5 ";"4,5 ";"40,5 ";"26,0 ";"14,5 ";"19 ";"24 ";"MV-ev-S-12-G 1/4'' ";"19,61 ";"S ";"6310 "
"630 ";"12 ";"G 1/2'' ";"M 20 x 1,5 ";"5,0 ";"47,5 ";"27,0 ";"20,0 ";"27 ";"24 ";"MV-ev-S-12-G 1/2'' ";"29,53 ";"S ";"6311 "
