Blatt;A;B;C;D;E;F
5-23;Spalte B;;;;;;
5-24;Spalte B;;;;;;
5-25;Spalte B;;Spalte C;;;;
5-26;Spalte B;;Spalte C;;;;
5-27;Spalte B;;;;;;
5-28;Spalte B;;;;;;
5-29;Spalte B;;;;;;
5-30;Spalte B;;;;;;
5-31;Spalte B;;;;;;
5-32;Spalte B;;;;;;
5-33;Spalte B;;;;;;
5-34;Spalte B;;;;;;
5-35;Spalte B;;;;;;
5-36;Spalte B;;;;;;
5-37;Spalte B;;;;;;
5-38;Spalte B;;;;;;
5-39;Spalte C;;Spalte B;Spalte D;;;
5-40;Spalte A;;;;;;
5-41;Spalte B;;Spalte C;;;;
5-42;Spalte B;;;;;;
5-43;Spalte B;;;;;;
5-44;Spalte B;;;;;;
5-45;Spalte B;;Spalte C;;;;
5-46;Spalte B;;Spalte C;;;;
5-47;Spalte B;;Spalte C;;;;
5-48;Spalte B;;Spalte C;;;;
5-49;Spalte B;;Spalte C;;;;
5-50;Spalte B;;Spalte C;;;;
5-51;Spalte B;;Spalte C;;;;
5-52;Spalte B;;Spalte C;;;;
5-53;Spalte B;;Spalte C;;;;
5-54;Spalte B;;;;;;
5-55;Spalte B;;;;;;
5-56;Spalte B;;;;;;
5-57;Spalte B;;;;;;
5-58;Spalte B;;;;;;
5-59;Spalte B;;;;;;
6-6;Spalte D;;Spalte E;;;;
6-7;Spalte D;;;;;;
6-8;Spalte D;;;;;;
6-9;Spalte D;;Spalte E;;;;
6-10;Spalte D;;Spalte E;;;;
6-11;Spalte D;;;;;;
6-12;Spalte D;;;;;;
6-13;Spalte D;;;;;;
6-14;Spalte D;;;;;;
6-15;Spalte D;;;;;;
6-16;Spalte D;;;;;;
6-17;Spalte D;;;;;;
6-18;Spalte A;;;;;;
6-19;Spalte D;;Spalte E;;;;
6-20;Spalte D;;Spalte E;;;;
6-21;Spalte D;;Spalte E;;;;
6-22;Spalte D;;Spalte E;;;;
6-23;Spalte D;;Spalte E;;;;
6-24;Spalte D;;Spalte E;;;;
6-25;Spalte D;;Spalte E;;;;
6-26;Spalte D;;Spalte E;;;;
6-27;Spalte D;;Spalte E;;;;
6-28;Spalte D;;Spalte E;;;;
6-29;Spalte D;;Spalte E;;;;
6-30;Spalte D;;Spalte E;;;;
6-31;Spalte D;;Spalte E;;;;
6-32;Spalte D;;Spalte E;;;;
6-33;Spalte D;;;;;;
6-34;Spalte D;;;;;;
6-35;Spalte C;;;;;;
6-36;Spalte A;;;;;;
6-37;Spalte B;;;;;;
7-4;Spalte B;Spalte D;Spalte C;;;;
7-5;Spalte B;;;;;;
7-6;Spalte B;;;;;;
7-7;Spalte B;;;;;;
8-15;Spalte B;Spalte I;;;;;
8-16;Spalte B;Spalte I;;;;;
8-17;Spalte B;Spalte H;;;;;
8-18;Spalte B;Spalte K;Spalte C;Spalte K;;;
8-19;Spalte B;Spalte K;Spalte C;Spalte K;;;
8-20;Spalte B;Spalte I;Spalte C;Spalte I;;;
8-21;Spalte B;Spalte K;Spalte C;Spalte K;;;
8-22;Spalte B;Spalte K;Spalte C;Spalte K;;;
8-23;Spalte B;Spalte I;Spalte C;Spalte I;;;
8-24;Spalte B;Spalte I;Spalte C;Spalte I;;;
8-25;Spalte B;Spalte I;;;;;
8-26;Spalte B;Spalte H;;;;;
8-27;Spalte B;Spalte I;;;;;
8-28;Spalte B;Spalte I;;;;;
8-29;Spalte B;Spalte I;;;;;
8-30;Spalte B;Spalte K;Spalte C;Spalte K;Spalte D;Spalte K;
8-32;Spalte B;Spalte K;Spalte C;Spalte K;Spalte D;Spalte K;
8-34;Spalte B;Spalte M;Spalte C;Spalte M;Spalte D;Spalte M;
8-36;Spalte B;Spalte K;Spalte C;Spalte K;Spalte D;Spalte K;
8-37;Spalte B;Spalte K;Spalte C;Spalte K;Spalte D;Spalte K;
8-38;Spalte B;Spalte M;Spalte C;Spalte M;Spalte D;Spalte M;
8-39;Spalte B;Spalte J;;;;;
8-40;Spalte B;Spalte I;;;;;
8-41;Spalte B;Spalte H;;;;;
8-42;Spalte B;Spalte M;;;;;
8-43;Spalte B;Spalte M;;;;;
8-44;Spalte B;Spalte L;;;;;
8-45;Spalte B;Spalte N;;;;;
8-46;Spalte B;Spalte N;;;;;
8-47;Spalte B;Spalte M;;;;;
8-48;Spalte B;Spalte K;;;;;
8-49;Spalte B;Spalte K;Spalte C;;;;
8-50;Spalte B;Spalte K;Spalte C;;;;
8-51;Spalte B;Spalte J;Spalte C;;;;
8-53;Spalte B;Spalte K;Spalte C;;;;
8-55;Spalte B;Spalte K;Spalte C;;;;
8-56;Spalte B;Spalte J;Spalte C;;;;
8-58;Spalte B;Spalte K;Spalte C;;;;
8-59;Spalte B;Spalte K;Spalte C;;;;
8-60;Spalte B;Spalte J;Spalte C;;;;
8-61;Spalte B;Spalte K;Spalte C;;;;
8-62;Spalte B;Spalte K;Spalte C;;;;
8-63;Spalte B;Spalte J;Spalte C;;;;
8-64;Spalte B;Spalte K;Spalte C;;;;
8-65;Spalte B;Spalte K;Spalte C;;;;
8-66;Spalte B;Spalte J;Spalte C;;;;
8-67;Spalte B;Spalte K;Spalte C;;;;
8-68;Spalte B;Spalte K;Spalte C;;;;
8-69;Spalte B;Spalte J;Spalte C;;;;
8-70;Spalte B;Spalte K;Spalte C;;;;
8-71;Spalte B;Spalte K;Spalte C;;;;
8-72;Spalte B;Spalte J;Spalte C;;;;
8-73;Spalte B;Spalte K;Spalte C;;;;
8-74;Spalte B;Spalte K;Spalte C;;;;
8-75;Spalte B;Spalte J;Spalte C;;;;
8-76;Spalte B;Spalte K;Spalte C;;;;
8-78;Spalte B;Spalte K;Spalte C;;;;
8-79;Spalte B;Spalte J;Spalte C;;;;
8-81;Spalte B;Spalte K;Spalte C;;;;
8-82;Spalte B;Spalte K;Spalte C;;;;
8-83;Spalte B;Spalte J;Spalte C;;;;
8-84;Spalte B;Spalte K;Spalte C;;;;
8-85;Spalte B;Spalte K;Spalte C;;;;
8-86;Spalte B;Spalte J;Spalte C;;;;
8-87;Spalte B;Spalte K;Spalte C;;;;
8-88;Spalte B;Spalte K;Spalte C;;;;
8-89;Spalte B;Spalte J;Spalte C;;;;
8-90;Spalte B;Spalte K;Spalte C;;;;
8-91;Spalte B;Spalte K;Spalte C;;;;
8-92;Spalte B;Spalte J;Spalte C;;;;
8-93;Spalte B;Spalte L;Spalte C;;;;
8-94;Spalte B;Spalte L;Spalte C;;;;
8-95;Spalte B;Spalte G;Spalte C;;;;
8-96;Spalte B;Spalte L;Spalte C;;;;
8-97;Spalte B;Spalte L;Spalte C;;;;
8-98;Spalte B;Spalte G;Spalte C;;;;
8-99;Spalte B;Spalte L;Spalte C;;;;
8-100;Spalte B;Spalte L;Spalte C;;;;
8-101;Spalte B;Spalte K;Spalte C;;;;
8-102;Spalte B;Spalte L;Spalte C;;;;
8-103;Spalte B;Spalte L;Spalte C;;;;
8-104;Spalte B;Spalte K;Spalte C;;;;
8-105;Spalte B;Spalte L;Spalte C;;;;
8-106;Spalte B;Spalte L;Spalte C;;;;
8-107;Spalte B;Spalte K;Spalte C;;;;
8-108;Spalte B;Spalte L;Spalte C;;;;
8-109;Spalte B;Spalte L;Spalte C;;;;
8-110;Spalte B;Spalte K;Spalte C;;;;
8-111;Spalte B;Spalte L;Spalte C;;;;
8-112;Spalte B;Spalte L;Spalte C;;;;
8-113;Spalte B;Spalte K;Spalte C;;;;
8-114;Spalte B;Spalte L;Spalte C;;;;
8-115;Spalte B;Spalte L;Spalte C;;;;
8-116;Spalte B;Spalte K;Spalte C;;;;
8-117;Spalte B;Spalte L;Spalte C;;;;
8-118;Spalte B;Spalte L;Spalte C;;;;
8-119;Spalte B;Spalte K;Spalte C;;;;
8-120;Spalte B;Spalte L;Spalte C;;;;
8-121;Spalte B;Spalte L;Spalte C;;;;
8-122;Spalte B;Spalte K;Spalte C;;;;
8-123;Spalte B;Spalte L;Spalte C;;;;
8-124;Spalte B;Spalte L;Spalte C;;;;
8-125;Spalte B;Spalte K;Spalte C;;;;
8-126;Spalte B;Spalte L;Spalte C;;;;
8-127;Spalte B;Spalte L;Spalte C;;;;
8-128;Spalte B;Spalte K;Spalte C;;;;
8-129;Spalte B;Spalte L;Spalte C;;;;
8-130;Spalte B;Spalte L;Spalte C;;;;
8-131;Spalte B;Spalte K;Spalte C;;;;
8-132;Spalte B;Spalte L;Spalte C;;;;
8-133;Spalte B;Spalte L;Spalte C;;;;
